neutral,And the craziness begins for all shopaholics  #TheBigBillionDays starts from Oct 13-17 @Flipkart Go Shop till you drop😜😜
positive,Got the perfect pair of heels! My festive season is gonna be stylish! Yayy! #TheBigBillionDays @Flipkart
negative, this is irritating! #TheBigBillionDays @Flipkart
negative,Flipcart's #TheBigBillionDays sale is like the products u were getting in 2k earlier now u getting the same in 2k after 40% off 🙅🙅🙅
neutral,@Flipkart have changed and redefined the rules of the game for online shopping with #TheBigBillionDays
negative,flipkart is trolling public this time 
neutral,Finally #BigBillionDays on @Flipkart now its time to shop till i drop !
positive,Finally ordered some accessories at unbelievable price for my mom from my earnings from the #BigBillionDays by @Flipkart
positive,Updated my app &amp; ready with My Shopping list..
negative,@flipkart 1st day nothing special ..
